Game,Date,Series,ThreePointPercentage,Points
128,5/28/13,Eastern Conference NBA Finals,0.571,24
129,5/30/13,Eastern Conference NBA Finals,0.429,30
130,6/1/13,Eastern Conference NBA Finals,0.5,29
131,6/3/13,Eastern Conference NBA Finals,0.5,32
132,6/6/13,NBA Finals,0.2,18
133,6/9/13,NBA Finals,0.333,17
135,6/13/13,NBA Finals,0.5,33
136,6/16/13,NBA Finals,0.5,25
137,6/18/13,NBA Finals,0.2,32
138,6/20/13,NBA Finals,0.5,37
139,4/20/14,Eastern Conference 1,0.5,27
140,4/23/14,Eastern Conference 1,0.2,32
141,4/26/14,Eastern Conference 1,0.5,30
142,4/28/14,Eastern Conference 1,0.2,31
144,5/8/14,Eastern Conference SemiFinals,0,22
145,5/10/14,Eastern Conference SemiFinals,0.429,28
146,5/12/14,Eastern Conference SemiFinals,0.5,49
147,5/14/14,Eastern Conference SemiFinals,0.4,29
148,5/18/14,Eastern Conference NBA Finals,0.2,25
149,5/20/14,Eastern Conference NBA Finals,0.2,22
150,5/24/14,Eastern Conference NBA Finals,0.5,26
151,5/26/14,Eastern Conference NBA Finals,0.667,32
152,5/28/14,Eastern Conference NBA Finals,0.333,7
154,6/5/14,NBA Finals,0.667,25
155,6/8/14,NBA Finals,1,35
156,6/10/14,NBA Finals,0.5,22
157,6/12/14,NBA Finals,0.5,28
158,6/15/14,NBA Finals,0.333,31
159,4/19/15,Eastern Conference 1,0.333,20
160,4/21/15,Eastern Conference 1,0.2,30
161,4/23/15,Eastern Conference 1,0.2,31
162,4/26/15,Eastern Conference 1,0.143,27
163,5/4/15,Eastern Conference SemiFinals,0,19
164,5/6/15,Eastern Conference SemiFinals,0,33
165,5/8/15,Eastern Conference SemiFinals,0.143,27
166,5/10/15,Eastern Conference SemiFinals,0.143,25
167,5/12/15,Eastern Conference SemiFinals,0.2,38
168,5/14/15,Eastern Conference SemiFinals,0,15
169,5/20/15,Eastern Conference NBA Finals,0,31
170,5/22/15,Eastern Conference NBA Finals,0.286,30
171,5/24/15,Eastern Conference NBA Finals,0.167,37
172,5/26/15,Eastern Conference NBA Finals,0.333,23
173,6/4/15,NBA Finals,0.25,44
174,6/7/15,NBA Finals,0.5,39
175,6/9/15,NBA Finals,0.333,40
176,6/11/15,NBA Finals,0.25,20
177,6/14/15,NBA Finals,0.375,40
178,6/16/15,NBA Finals,0.2,32
179,4/17/16,Eastern Conference 1,0,22
180,4/20/16,Eastern Conference 1,0.5,27
181,4/22/16,Eastern Conference 1,0.167,20
182,4/24/16,Eastern Conference 1,0.167,22
183,5/2/16,Eastern Conference SemiFinals,0.5,25
184,5/4/16,Eastern Conference SemiFinals,0.667,27
185,5/6/16,Eastern Conference SemiFinals,0.25,24
186,5/8/16,Eastern Conference SemiFinals,0.2,21
187,5/17/16,Eastern Conference NBA Finals,0,24
188,5/19/16,Eastern Conference NBA Finals,0,23
189,5/21/16,Eastern Conference NBA Finals,0.2,24
190,5/23/16,Eastern Conference NBA Finals,0.333,29
191,5/25/16,Eastern Conference NBA Finals,0.5,23
192,5/27/16,Eastern Conference NBA Finals,0.5,33
193,6/2/16,NBA Finals,0.5,23
194,6/5/16,NBA Finals,0.2,19
195,6/8/16,NBA Finals,0.5,32
196,6/10/16,NBA Finals,0.2,25
197,6/13/16,NBA Finals,0.5,41
198,6/16/16,NBA Finals,0.5,41
