game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
34,4/19/08,Eastern Conference 1,1,CLE,WAS,W (+7),41,12,19,0.632,0,2,0,8,14,0.571,0,6,6,4,1,2,1,32,26.7,9
35,4/21/08,Eastern Conference 1,2,CLE,WAS,W (+30),39,9,19,0.474,2,6,0.333,10,17,0.588,1,8,9,12,1,2,1,30,29.6,34
36,4/24/08,Eastern Conference 1,3,CLE,WAS,L (-36),36,10,19,0.526,0,4,0,2,4,0.5,0,7,7,3,1,1,4,22,12.6,-24
37,4/27/08,Eastern Conference 1,4,CLE,WAS,W (+3),44,11,25,0.44,3,8,0.375,9,14,0.643,2,10,12,7,2,0,5,34,23.2,3
38,4/30/08,Eastern Conference 1,5,CLE,WAS,L (-1),44,8,21,0.381,3,9,0.333,15,18,0.833,2,8,10,7,1,2,5,34,27.4,-3
39,5/2/08,Eastern Conference 1,6,CLE,WAS,W (+17),44,8,17,0.471,1,2,0.5,10,10,1,2,11,13,13,2,1,1,27,33,26
40,5/6/08,Eastern Conference SemiFinals,1,CLE,BOS,L (-4),39,2,18,0.111,0,6,0,8,10,0.8,2,7,9,9,1,1,10,12,-0.7,-7
41,5/8/08,Eastern Conference SemiFinals,2,CLE,BOS,L (-16),42,6,24,0.25,0,4,0,9,13,0.692,2,3,5,6,2,1,7,21,6.8,-15
42,5/10/08,Eastern Conference SemiFinals,3,CLE,BOS,W (+24),40,5,16,0.313,3,5,0.6,8,12,0.667,0,5,5,8,4,3,2,21,20.2,29
43,5/12/08,Eastern Conference SemiFinals,4,CLE,BOS,W (+11),44,7,20,0.35,2,5,0.4,5,8,0.625,1,5,6,13,3,2,4,21,19.1,15
44,5/14/08,Eastern Conference SemiFinals,5,CLE,BOS,L (-7),45,12,25,0.48,0,5,0,11,13,0.846,0,3,3,5,1,1,4,35,22.4,-8
45,5/16/08,Eastern Conference SemiFinals,6,CLE,BOS,W (+5),47,9,23,0.391,1,3,0.333,13,15,0.867,3,9,12,6,2,1,8,32,21.6,7
46,5/18/08,Eastern Conference SemiFinals,7,CLE,BOS,L (-5),47,14,29,0.483,3,11,0.273,14,19,0.737,1,4,5,6,2,0,2,45,32.8,0
47,4/18/09,Eastern Conference 1,1,CLE,DET,W (+18),41,13,20,0.65,1,4,0.25,11,14,0.786,0,8,8,7,1,0,0,38,35.9,22
48,4/21/09,Eastern Conference 1,2,CLE,DET,W (+12),38,7,14,0.5,2,5,0.4,13,17,0.765,1,12,13,6,0,0,2,29,26.5,21
49,4/24/09,Eastern Conference 1,3,CLE,DET,W (+11),43,9,19,0.474,0,5,0,7,11,0.636,2,9,11,9,3,2,2,25,26.5,13
50,4/26/09,Eastern Conference 1,4,CLE,DET,W (+21),41,10,24,0.417,0,3,0,16,17,0.941,1,12,13,8,2,1,2,36,32.2,10
51,5/5/09,Eastern Conference SemiFinals,1,CLE,ATL,W (+27),34,12,20,0.6,2,6,0.333,8,9,0.889,3,7,10,3,4,0,3,34,31.7,13
52,5/7/09,Eastern Conference SemiFinals,2,CLE,ATL,W (+20),31,9,14,0.643,3,5,0.6,6,12,0.5,0,3,3,5,4,1,0,27,27.1,23
53,5/9/09,Eastern Conference SemiFinals,3,CLE,ATL,W (+15),43,15,25,0.6,5,10,0.5,12,16,0.75,2,10,12,8,1,1,1,47,43.8,26
54,5/11/09,Eastern Conference SemiFinals,4,CLE,ATL,W (+10),43,9,22,0.409,3,6,0.5,6,9,0.667,0,8,8,8,1,0,3,27,18.8,1
55,5/20/09,Eastern Conference NBA Finals,1,CLE,ORL,L (-1),41,20,30,0.667,3,6,0.5,6,10,0.6,3,3,6,8,2,3,2,49,44.7,7
56,5/22/09,Eastern Conference NBA Finals,2,CLE,ORL,W (+1),43,12,23,0.522,1,3,0.333,10,12,0.833,2,2,4,5,1,0,6,35,22.2,-7
57,5/24/09,Eastern Conference NBA Finals,3,CLE,ORL,L (-10),42,11,28,0.393,1,8,0.125,18,24,0.75,0,7,7,9,2,1,2,41,31.3,-12
58,5/26/09,Eastern Conference NBA Finals,4,CLE,ORL,L (-2),49,13,29,0.448,4,10,0.4,14,18,0.778,1,11,12,7,1,1,8,44,27.9,6
59,5/28/09,Eastern Conference NBA Finals,5,CLE,ORL,W (+10),46,11,24,0.458,0,2,0,15,19,0.789,3,11,14,12,1,1,4,37,33.3,11
60,5/30/09,Eastern Conference NBA Finals,6,CLE,ORL,L (-13),45,8,20,0.4,2,8,0.25,7,11,0.636,1,6,7,7,0,1,3,25,16.1,-12
61,4/17/10,Eastern Conference 1,1,CLE,CHI,W (+13),40,9,19,0.474,0,1,0,6,7,0.857,0,6,6,5,1,4,3,24,19.2,19
62,4/19/10,Eastern Conference 1,2,CLE,CHI,W (+10),41,16,23,0.696,2,4,0.5,6,6,1,1,7,8,8,1,2,2,40,38.3,6
63,4/22/10,Eastern Conference 1,3,CLE,CHI,L (-2),44,14,26,0.538,4,8,0.5,7,13,0.538,2,8,10,8,2,3,5,39,31.3,5
64,4/25/10,Eastern Conference 1,4,CLE,CHI,W (+23),36,11,17,0.647,6,9,0.667,9,10,0.9,0,12,12,11,2,1,2,37,39.9,29
65,4/27/10,Eastern Conference 1,5,CLE,CHI,W (+2),43,5,12,0.417,1,2,0.5,8,14,0.571,3,7,10,9,0,2,3,19,18.7,1
66,5/1/10,Eastern Conference SemiFinals,1,CLE,BOS,W (+8),43,12,24,0.5,3,6,0.5,8,11,0.727,2,5,7,7,3,2,2,35,31.6,7
67,5/3/10,Eastern Conference SemiFinals,2,CLE,BOS,L (-18),41,7,15,0.467,0,4,0,10,15,0.667,0,7,7,4,3,2,5,24,18.2,-16
68,5/7/10,Eastern Conference SemiFinals,3,CLE,BOS,W (+29),39,14,22,0.636,2,3,0.667,8,9,0.889,2,6,8,7,1,2,1,38,36.9,30
69,5/9/10,Eastern Conference SemiFinals,4,CLE,BOS,L (-10),43,7,18,0.389,0,5,0,8,11,0.727,1,8,9,8,2,1,7,22,13.8,-10
70,5/11/10,Eastern Conference SemiFinals,5,CLE,BOS,L (-32),42,3,14,0.214,0,4,0,9,12,0.75,1,5,6,7,1,0,3,15,9.1,-22
71,5/13/10,Eastern Conference SemiFinals,6,CLE,BOS,L (-9),46,8,21,0.381,2,4,0.5,9,12,0.75,3,16,19,10,3,1,9,27,22.1,-5
72,4/16/11,Eastern Conference 1,1,MIA,PHI,W (+8),43,4,14,0.286,0,2,0,13,14,0.929,4,10,14,5,1,3,2,21,21.6,4
73,4/18/11,Eastern Conference 1,2,MIA,PHI,W (+21),39,10,19,0.526,1,1,1,8,10,0.8,1,6,7,6,0,0,0,29,25.2,24
74,4/21/11,Eastern Conference 1,3,MIA,PHI,W (+6),44,8,15,0.533,1,4,0.25,7,10,0.7,1,14,15,6,1,0,1,24,24.2,8
75,4/24/11,Eastern Conference 1,4,MIA,PHI,L (-4),44,11,20,0.55,0,4,0,9,11,0.818,2,5,7,6,1,1,1,31,27.6,-4
76,4/27/11,Eastern Conference 1,5,MIA,PHI,W (+6),42,5,13,0.385,2,5,0.4,4,5,0.8,3,7,10,8,1,0,3,16,15.5,5
77,5/1/11,Eastern Conference SemiFinals,1,MIA,BOS,W (+9),40,8,19,0.421,1,3,0.333,5,9,0.556,1,5,6,5,2,2,3,22,15.6,1
78,5/3/11,Eastern Conference SemiFinals,2,MIA,BOS,W (+11),44,14,25,0.56,2,4,0.5,5,8,0.625,2,5,7,2,1,1,0,35,26.7,10
79,5/7/11,Eastern Conference SemiFinals,3,MIA,BOS,L (-16),43,6,16,0.375,0,3,0,3,7,0.429,2,5,7,4,2,5,4,15,10.6,-21
80,5/9/11,Eastern Conference SemiFinals,4,MIA,BOS,W (+8),50,12,28,0.429,2,6,0.333,9,9,1,3,11,14,3,3,0,5,35,24.5,7
81,5/11/11,Eastern Conference SemiFinals,5,MIA,BOS,W (+10),46,11,20,0.55,5,7,0.714,6,9,0.667,2,5,7,4,1,1,5,33,24.2,14
82,5/15/11,Eastern Conference NBA Finals,1,MIA,CHI,L (-21),41,5,15,0.333,1,3,0.333,4,4,1,1,5,6,6,2,3,4,15,12.2,-14
83,5/18/11,Eastern Conference NBA Finals,2,MIA,CHI,W (+10),46,12,21,0.571,2,6,0.333,3,7,0.429,3,7,10,5,3,0,5,29,22,8
84,5/22/11,Eastern Conference NBA Finals,3,MIA,CHI,W (+11),44,6,13,0.462,1,2,0.5,9,9,1,1,5,6,10,2,2,0,22,26.3,16
85,5/24/11,Eastern Conference NBA Finals,4,MIA,CHI,W (+8),49,11,26,0.423,0,1,0,13,13,1,2,4,6,6,2,2,5,35,24.8,-1
86,5/26/11,Eastern Conference NBA Finals,5,MIA,CHI,W (+3),46,8,19,0.421,3,6,0.5,9,11,0.818,0,11,11,6,3,2,4,28,24.2,8
87,5/31/11,NBA Finals,1,MIA,DAL,W (+8),45,9,16,0.563,4,5,0.8,2,2,1,0,9,9,5,1,0,1,24,21,9
88,6/2/11,NBA Finals,2,MIA,DAL,L (-2),40,8,15,0.533,2,7,0.286,2,4,0.5,1,7,8,4,4,1,5,20,15.6,-5
89,6/5/11,NBA Finals,3,MIA,DAL,W (+2),45,6,14,0.429,1,4,0.25,4,4,1,0,3,3,9,2,0,4,17,13.6,1
90,6/7/11,NBA Finals,4,MIA,DAL,L (-3),46,3,11,0.273,0,3,0,2,4,0.5,3,6,9,7,2,0,4,8,5.9,-6
91,6/9/11,NBA Finals,5,MIA,DAL,L (-9),46,8,19,0.421,0,4,0,1,2,0.5,1,9,10,10,0,1,4,17,12.4,-11
92,6/12/11,NBA Finals,6,MIA,DAL,L (-10),40,9,15,0.6,2,5,0.4,1,4,0.25,1,3,4,6,1,1,6,21,13.6,-24
93,4/28/12,Eastern Conference 1,1,MIA,NYK,W (+33),32,10,14,0.714,1,1,1,11,14,0.786,1,3,4,3,4,0,2,32,29.9,35
94,4/30/12,Eastern Conference 1,2,MIA,NYK,W (+10),41,8,18,0.444,0,3,0,3,7,0.429,1,6,7,9,2,0,2,19,16.4,10
95,5/3/12,Eastern Conference 1,3,MIA,NYK,W (+17),36,9,21,0.429,2,5,0.4,12,13,0.923,2,6,8,5,2,0,8,32,19.2,23
96,5/6/12,Eastern Conference 1,4,MIA,NYK,L (-2),41,9,21,0.429,2,5,0.4,7,8,0.875,0,4,4,4,1,0,5,27,13.9,-7
97,5/9/12,Eastern Conference 1,5,MIA,NYK,W (+12),40,7,16,0.438,2,6,0.333,13,15,0.867,1,7,8,7,2,1,4,29,25.4,6
98,5/13/12,Eastern Conference SemiFinals,1,MIA,IND,W (+9),43,12,26,0.462,0,3,0,8,10,0.8,6,9,15,5,2,1,1,32,29.5,12
99,5/15/12,Eastern Conference SemiFinals,2,MIA,IND,L (-3),43,10,22,0.455,0,4,0,8,13,0.615,4,5,9,5,6,0,2,28,26.4,-7
100,5/17/12,Eastern Conference SemiFinals,3,MIA,IND,L (-19),40,10,22,0.455,1,4,0.25,1,3,0.333,1,6,7,3,2,0,4,22,12,-9
101,5/20/12,Eastern Conference SemiFinals,4,MIA,IND,W (+8),44,14,27,0.519,0,0,,12,16,0.75,6,12,18,9,2,2,5,40,37.2,4
102,5/22/12,Eastern Conference SemiFinals,5,MIA,IND,W (+32),38,12,19,0.632,2,4,0.5,4,4,1,3,7,10,8,1,1,4,30,28.6,28
103,5/24/12,Eastern Conference SemiFinals,6,MIA,IND,W (+12),45,12,23,0.522,0,3,0,4,5,0.8,1,5,6,7,3,0,1,28,25,16
104,5/28/12,Eastern Conference NBA Finals,1,MIA,BOS,W (+14),44,13,22,0.591,0,3,0,6,9,0.667,1,12,13,3,1,3,3,32,26.3,17
105,5/30/12,Eastern Conference NBA Finals,2,MIA,BOS,W (+4),48,7,20,0.35,2,6,0.333,18,24,0.75,4,6,10,7,1,1,1,34,29.8,10
106,6/1/12,Eastern Conference NBA Finals,3,MIA,BOS,L (-10),43,16,26,0.615,1,4,0.25,1,5,0.2,0,8,8,5,2,2,3,34,25.3,-6
107,6/3/12,Eastern Conference NBA Finals,4,MIA,BOS,L (-2),48,12,25,0.48,1,3,0.333,4,8,0.5,1,5,6,3,1,1,7,29,11.3,1
108,6/5/12,Eastern Conference NBA Finals,5,MIA,BOS,L (-4),45,11,25,0.44,2,6,0.333,6,8,0.75,3,10,13,2,2,1,3,30,21.9,0
109,6/7/12,Eastern Conference NBA Finals,6,MIA,BOS,W (+19),45,19,26,0.731,2,4,0.5,5,9,0.556,2,13,15,5,0,0,4,45,36.4,22
110,6/9/12,Eastern Conference NBA Finals,7,MIA,BOS,W (+13),48,9,21,0.429,1,5,0.2,12,17,0.706,2,10,12,2,1,1,3,31,22.4,13
111,6/12/12,NBA Finals,1,MIA,OKC,L (-11),46,11,24,0.458,1,3,0.333,7,9,0.778,1,8,9,4,4,0,4,30,22.3,-11
112,6/14/12,NBA Finals,2,MIA,OKC,W (+4),42,10,22,0.455,0,2,0,12,12,1,2,6,8,5,1,0,2,32,24.7,6
113,6/17/12,NBA Finals,3,MIA,OKC,W (+6),44,11,23,0.478,1,4,0.25,6,8,0.75,5,9,14,3,0,0,4,29,20.4,8
114,6/19/12,NBA Finals,4,MIA,OKC,W (+6),44,10,20,0.5,1,4,0.25,5,8,0.625,3,6,9,12,2,0,3,26,25.3,8
115,6/21/12,NBA Finals,5,MIA,OKC,W (+15),44,9,19,0.474,0,3,0,8,9,0.889,4,7,11,13,1,2,6,26,25.5,20
116,4/21/13,Eastern Conference 1,1,MIA,MIL,W (+23),35,9,11,0.818,1,2,0.5,8,11,0.727,2,8,10,8,0,0,5,27,25.3,14
117,4/23/13,Eastern Conference 1,2,MIA,MIL,W (+12),39,6,14,0.429,0,3,0,7,8,0.875,1,7,8,6,1,0,4,19,14.4,13
118,4/25/13,Eastern Conference 1,3,MIA,MIL,W (+13),33,9,14,0.643,2,4,0.5,2,4,0.5,0,5,5,6,0,0,5,22,14.9,14
119,4/28/13,Eastern Conference 1,4,MIA,MIL,W (+11),41,13,20,0.65,0,2,0,4,7,0.571,2,6,8,7,3,1,5,30,25.6,16
120,5/6/13,Eastern Conference SemiFinals,1,MIA,CHI,L (-7),44,8,17,0.471,1,3,0.333,7,9,0.778,2,6,8,7,2,1,2,24,22.5,-15
121,5/8/13,Eastern Conference SemiFinals,2,MIA,CHI,W (+37),32,7,12,0.583,1,3,0.333,4,8,0.5,0,5,5,9,3,0,3,19,19.2,25
122,5/10/13,Eastern Conference SemiFinals,3,MIA,CHI,W (+10),44,6,17,0.353,2,4,0.5,11,11,1,0,8,8,7,2,0,1,25,23.8,7
123,5/13/13,Eastern Conference SemiFinals,4,MIA,CHI,W (+23),43,9,20,0.45,1,4,0.25,8,9,0.889,0,7,7,8,2,0,5,27,20.9,27
124,5/15/13,Eastern Conference SemiFinals,5,MIA,CHI,W (+3),44,5,14,0.357,1,3,0.333,12,15,0.8,0,7,7,8,2,0,2,23,20.5,4
125,5/22/13,Eastern Conference NBA Finals,1,MIA,IND,W (+1),47,12,24,0.5,2,6,0.333,4,7,0.571,3,7,10,10,0,3,4,30,24.1,3
126,5/24/13,Eastern Conference NBA Finals,2,MIA,IND,L (-4),45,14,20,0.7,3,7,0.429,5,7,0.714,4,4,8,3,3,1,5,36,30.4,-7
127,5/26/13,Eastern Conference NBA Finals,3,MIA,IND,W (+18),41,8,17,0.471,0,1,0,6,6,1,0,4,4,3,0,0,0,22,16.6,22
128,5/28/13,Eastern Conference NBA Finals,4,MIA,IND,L (-7),43,8,18,0.444,4,7,0.571,4,6,0.667,4,2,6,5,1,3,2,24,19.4,-3
129,5/30/13,Eastern Conference NBA Finals,5,MIA,IND,W (+11),44,13,26,0.5,3,7,0.429,1,4,0.25,0,8,8,6,2,1,3,30,21.7,14
130,6/1/13,Eastern Conference NBA Finals,6,MIA,IND,L (-14),42,10,21,0.476,2,4,0.5,7,8,0.875,0,7,7,6,2,1,4,29,22.1,-22
131,6/3/13,Eastern Conference NBA Finals,7,MIA,IND,W (+23),41,8,17,0.471,1,2,0.5,15,16,0.938,2,6,8,4,2,1,2,32,29.2,21
132,6/6/13,NBA Finals,1,MIA,SAS,L (-4),42,7,16,0.438,1,5,0.2,3,4,0.75,2,16,18,10,0,0,2,18,20.4,-3
133,6/9/13,NBA Finals,2,MIA,SAS,W (+19),41,7,17,0.412,1,3,0.333,2,2,1,1,7,8,7,3,3,2,17,17.9,29
134,6/11/13,NBA Finals,3,MIA,SAS,L (-36),39,7,21,0.333,1,5,0.2,0,0,,1,10,11,5,2,0,2,15,10.3,-32
135,6/13/13,NBA Finals,4,MIA,SAS,W (+16),41,15,25,0.6,1,2,0.5,2,4,0.5,3,8,11,4,2,2,1,33,29.6,8
136,6/16/13,NBA Finals,5,MIA,SAS,L (-10),44,8,22,0.364,2,4,0.5,7,9,0.778,3,3,6,8,4,0,3,25,21.2,-9
137,6/18/13,NBA Finals,6,MIA,SAS,W (+3),50,11,26,0.423,1,5,0.2,9,12,0.75,4,6,10,11,3,1,6,32,25.8,-1
138,6/20/13,NBA Finals,7,MIA,SAS,W (+7),45,12,23,0.522,5,10,0.5,8,8,1,3,9,12,4,2,0,2,37,32.5,8
139,4/20/14,Eastern Conference 1,1,MIA,CHA,W (+11),39,8,16,0.5,4,8,0.5,7,10,0.7,0,9,9,1,0,0,3,27,17.8,0
140,4/23/14,Eastern Conference 1,2,MIA,CHA,W (+4),40,11,17,0.647,1,5,0.2,9,12,0.75,0,6,6,8,4,0,4,32,29.9,6
141,4/26/14,Eastern Conference 1,3,MIA,CHA,W (+13),36,10,18,0.556,1,2,0.5,9,10,0.9,0,10,10,6,2,0,2,30,27.8,20
142,4/28/14,Eastern Conference 1,4,MIA,CHA,W (+11),43,10,19,0.526,1,5,0.2,10,12,0.833,0,7,7,9,3,1,2,31,29.8,12
143,5/6/14,Eastern Conference SemiFinals,1,MIA,BRK,W (+21),36,10,15,0.667,0,0,,2,2,1,1,4,5,3,0,0,1,22,17.7,10
144,5/8/14,Eastern Conference SemiFinals,2,MIA,BRK,W (+12),39,9,18,0.5,0,3,0,4,6,0.667,0,4,4,3,2,1,2,22,15.4,6
145,5/10/14,Eastern Conference SemiFinals,3,MIA,BRK,L (-14),40,8,15,0.533,3,7,0.429,9,10,0.9,0,8,8,5,1,1,2,28,25.1,-14
146,5/12/14,Eastern Conference SemiFinals,4,MIA,BRK,W (+6),43,16,24,0.667,3,6,0.5,14,19,0.737,0,6,6,2,3,0,1,49,39.8,13
147,5/14/14,Eastern Conference SemiFinals,5,MIA,BRK,W (+2),44,6,14,0.429,2,5,0.4,15,17,0.882,2,7,9,5,0,1,5,29,23.1,4
148,5/18/14,Eastern Conference NBA Finals,1,MIA,IND,L (-11),41,11,18,0.611,1,5,0.2,2,2,1,1,9,10,5,3,0,4,25,21.5,-13
149,5/20/14,Eastern Conference NBA Finals,2,MIA,IND,W (+4),42,9,18,0.5,1,5,0.2,3,6,0.5,0,7,7,6,2,3,3,22,18,4
150,5/24/14,Eastern Conference NBA Finals,3,MIA,IND,W (+12),40,9,14,0.643,1,2,0.5,7,9,0.778,1,4,5,7,3,0,6,26,22,24
151,5/26/14,Eastern Conference NBA Finals,4,MIA,IND,W (+12),36,13,21,0.619,2,3,0.667,4,4,1,0,10,10,5,2,0,2,32,27.8,10
152,5/28/14,Eastern Conference NBA Finals,5,MIA,IND,L (-3),24,2,10,0.2,1,3,0.333,2,3,0.667,1,1,2,4,0,1,3,7,-0.1,1
153,5/30/14,Eastern Conference NBA Finals,6,MIA,IND,W (+25),32,8,12,0.667,0,0,,9,9,1,1,3,4,6,1,1,2,25,24.9,27
154,6/5/14,NBA Finals,1,MIA,SAS,L (-15),33,9,17,0.529,2,3,0.667,5,6,0.833,3,3,6,3,3,0,4,25,20,0
155,6/8/14,NBA Finals,2,MIA,SAS,W (+2),38,14,22,0.636,3,3,1,4,5,0.8,2,8,10,3,2,0,4,35,27.5,11
156,6/10/14,NBA Finals,3,MIA,SAS,L (-19),40,9,14,0.643,2,4,0.5,2,3,0.667,1,4,5,7,5,0,7,22,18.2,-21
157,6/12/14,NBA Finals,4,MIA,SAS,L (-21),38,10,17,0.588,4,8,0.5,4,6,0.667,0,8,8,2,0,0,3,28,20.1,-21
158,6/15/14,NBA Finals,5,MIA,SAS,L (-17),41,10,21,0.476,3,9,0.333,8,9,0.889,1,9,10,5,0,2,1,31,26.8,-16
159,4/19/15,Eastern Conference 1,1,CLE,BOS,W (+13),42,8,18,0.444,1,3,0.333,3,4,0.75,0,6,6,7,2,1,5,20,13.8,3
160,4/21/15,Eastern Conference 1,2,CLE,BOS,W (+8),42,11,22,0.5,1,5,0.2,7,8,0.875,1,8,9,7,0,2,6,30,20.8,11
161,4/23/15,Eastern Conference 1,3,CLE,BOS,W (+8),42,13,26,0.5,1,5,0.2,4,5,0.8,1,10,11,4,4,2,2,31,27.1,0
162,4/26/15,Eastern Conference 1,4,CLE,BOS,W (+8),46,10,24,0.417,1,7,0.143,6,10,0.6,0,10,10,8,3,1,6,27,18.1,7
163,5/4/15,Eastern Conference SemiFinals,1,CLE,CHI,L (-7),42,9,22,0.409,0,3,0,1,2,0.5,4,11,15,9,3,1,6,19,15.3,-11
164,5/6/15,Eastern Conference SemiFinals,2,CLE,CHI,W (+15),34,13,29,0.448,0,2,0,7,9,0.778,3,5,8,5,2,1,2,33,24.1,31
165,5/8/15,Eastern Conference SemiFinals,3,CLE,CHI,L (-3),44,8,25,0.32,1,7,0.143,10,11,0.909,2,6,8,14,1,1,7,27,18.4,1
166,5/10/15,Eastern Conference SemiFinals,4,CLE,CHI,W (+2),43,10,30,0.333,1,7,0.143,4,4,1,2,12,14,8,1,2,8,25,11.4,5
167,5/12/15,Eastern Conference SemiFinals,5,CLE,CHI,W (+5),41,14,24,0.583,1,5,0.2,9,12,0.75,2,10,12,6,3,3,0,38,38.1,-4
168,5/14/15,Eastern Conference SemiFinals,6,CLE,CHI,W (+21),41,7,23,0.304,0,4,0,1,2,0.5,1,8,9,11,0,2,4,15,7.9,20
169,5/20/15,Eastern Conference NBA Finals,1,CLE,ATL,W (+8),38,12,26,0.462,0,1,0,7,8,0.875,1,7,8,6,1,0,4,31,20,3
